id,date,holiday
1,1990-01-01,Confraternização Universal
2,1990-02-26,Carnaval
3,1990-02-27,Carnaval
4,1990-04-13,Sexta-feira Santa
5,1990-05-01,Dia do Trabalho
6,1990-06-14,Corpus Christi
7,1990-11-20,Dia Nacional da Consciência Negra
8,1990-12-24,Véspera de Natal
9,1990-12-25,Natal
10,1990-12-31,Véspera de Ano-Novo
11,1991-01-01,Confraternização Universal
12,1991-02-11,Carnaval
13,1991-02-12,Carnaval
14,1991-03-29,Sexta-feira Santa
15,1991-05-01,Dia do Trabalho
16,1991-05-30,Corpus Christi
17,1991-11-20,Dia Nacional da Consciência Negra
18,1991-12-24,Véspera de Natal
19,1991-12-25,Natal
20,1991-12-31,Véspera de Ano-Novo
21,1992-01-01,Confraternização Universal
22,1992-03-02,Carnaval
23,1992-03-03,Carnaval
24,1992-04-17,Sexta-feira Santa
25,1992-04-21,Tiradentes
26,1992-05-01,Dia do Trabalho
27,1992-06-18,Corpus Christi
28,1992-11-20,Dia Nacional da Consciência Negra
29,1992-12-24,Véspera de Natal
30,1992-12-25,Natal
31,1992-12-31,Véspera de Ano-Novo
32,1993-01-01,Confraternização Universal
33,1993-02-22,Carnaval
34,1993-02-23,Carnaval
35,1993-04-09,Sexta-feira Santa
36,1993-04-21,Tiradentes
37,1993-06-10,Corpus Christi
38,1993-12-24,Véspera de Natal
39,1993-12-31,Véspera de Ano-Novo
40,1994-02-14,Carnaval
41,1994-02-15,Carnaval
42,1994-04-01,Sexta-feira Santa
43,1994-04-21,Tiradentes
44,1994-06-02,Corpus Christi
45,1995-02-27,Carnaval
46,1995-02-28,Carnaval
47,1995-04-14,Sexta-feira Santa
48,1995-04-21,Tiradentes
49,1995-05-01,Dia do Trabalho
50,1995-06-15,Corpus Christi
51,1995-11-20,Dia Nacional da Consciência Negra
52,1995-12-25,Natal
53,1996-01-01,Confraternização Universal
54,1996-02-19,Carnaval
55,1996-02-20,Carnaval
56,1996-04-05,Sexta-feira Santa
57,1996-05-01,Dia do Trabalho
58,1996-06-06,Corpus Christi
59,1996-11-20,Dia Nacional da Consciência Negra
